Date,Entree,Sortie,Direction,Prix_Entree,Prix_Sortie,Stop,PnL_pts,PnL_USD,Cumul_USD,Exit_Reason
2026-01-12,2026-01-12 19:00:00+01:00,2026-01-12 20:00:00+01:00,LONG,25977.75,25965.0,25965.0,-12.75,-255.0,-255.0,trail_stop
2026-01-12,2026-01-12 20:30:00+01:00,2026-01-12 20:40:00+01:00,LONG,26010.5,26006.75,25962.0,-3.75,-75.0,-330.0,time
2026-01-13,2026-01-13 16:00:00+01:00,2026-01-13 17:30:00+01:00,SHORT,25929.5,25924.75,25924.75,4.75,95.0,-235.0,trail_stop
2026-01-13,2026-01-13 17:35:00+01:00,2026-01-13 18:50:00+01:00,LONG,25953.5,25893.75,25893.75,-59.75,-1195.0,-1430.0,trail_stop
2026-01-13,2026-01-13 18:55:00+01:00,2026-01-13 20:40:00+01:00,SHORT,25877.25,25856.5,25904.0,20.75,415.0,-1015.0,time
2026-01-14,2026-01-14 16:00:00+01:00,2026-01-14 19:50:00+01:00,SHORT,25557.75,25509.0,25509.0,48.75,975.0,-40.0,trail_stop
2026-01-15,2026-01-15 17:00:00+01:00,2026-01-15 18:25:00+01:00,LONG,25913.25,25882.0,25882.0,-31.25,-625.0,-665.0,trail_stop
2026-01-16,2026-01-16 16:00:00+01:00,2026-01-16 17:30:00+01:00,SHORT,25730.5,25738.0,25738.0,-7.5,-150.0,-815.0,trail_stop
2026-01-16,2026-01-16 18:45:00+01:00,2026-01-16 19:20:00+01:00,SHORT,25681.75,25721.5,25721.5,-39.75,-795.0,-1610.0,trail_stop
2026-01-19,2026-01-19 18:00:00+01:00,2026-01-19 18:55:00+01:00,LONG,25385.5,25398.25,25363.5,12.75,255.0,-1355.0,eod
2026-01-20,2026-01-20 16:00:00+01:00,2026-01-20 18:20:00+01:00,LONG,25301.0,25333.75,25333.75,32.75,655.0,-700.0,trail_stop
2026-01-20,2026-01-20 18:25:00+01:00,2026-01-20 20:40:00+01:00,SHORT,25339.25,25149.75,25276.75,189.5,3790.0,3090.0,time
2026-01-21,2026-01-21 16:00:00+01:00,2026-01-21 17:40:00+01:00,LONG,25317.75,25318.0,25318.0,0.25,5.0,3095.0,trail_stop
2026-01-21,2026-01-21 19:25:00+01:00,2026-01-21 20:40:00+01:00,LONG,25235.5,25557.5,25183.5,322.0,6440.0,9535.0,time
2026-01-22,2026-01-22 17:05:00+01:00,2026-01-22 19:55:00+01:00,LONG,25640.0,25683.0,25683.0,43.0,860.0,10395.0,trail_stop
2026-01-23,2026-01-23 16:00:00+01:00,2026-01-23 18:40:00+01:00,LONG,25711.5,25761.0,25761.0,49.5,990.0,11385.0,trail_stop
2026-01-23,2026-01-23 20:05:00+01:00,2026-01-23 20:40:00+01:00,LONG,25763.0,25746.0,25714.25,-17.0,-340.0,11045.0,time
2026-01-26,2026-01-26 16:00:00+01:00,2026-01-26 18:45:00+01:00,LONG,25839.75,25887.5,25887.5,47.75,955.0,12000.0,trail_stop
2026-01-27,2026-01-27 16:00:00+01:00,2026-01-27 18:10:00+01:00,LONG,26057.0,26065.0,26065.0,8.0,160.0,12160.0,trail_stop
2026-01-28,2026-01-28 16:10:00+01:00,2026-01-28 18:50:00+01:00,SHORT,26216.25,26165.5,26165.5,50.75,1015.0,13175.0,trail_stop
2026-01-28,2026-01-28 20:25:00+01:00,2026-01-28 20:40:00+01:00,SHORT,26122.75,26148.0,26195.5,-25.25,-505.0,12670.0,time
2026-01-29,2026-01-29 16:00:00+01:00,2026-01-29 18:00:00+01:00,SHORT,25797.0,25739.75,25739.75,57.25,1145.0,13815.0,trail_stop
2026-01-30,2026-01-30 16:00:00+01:00,2026-01-30 20:05:00+01:00,SHORT,25814.5,25773.75,25773.75,40.75,815.0,14630.0,trail_stop
2026-02-02,2026-02-02 16:00:00+01:00,2026-02-02 19:20:00+01:00,LONG,25797.0,25897.5,25897.5,100.5,2010.0,16640.0,trail_stop
2026-02-03,2026-02-03 16:00:00+01:00,2026-02-03 19:30:00+01:00,SHORT,25609.5,25309.5,25502.5,300.0,6000.0,22640.0,tp
2026-02-03,2026-02-03 19:35:00+01:00,2026-02-03 20:40:00+01:00,SHORT,25320.0,25269.25,25366.0,50.75,1015.0,23655.0,time
2026-02-04,2026-02-04 16:00:00+01:00,2026-02-04 18:35:00+01:00,SHORT,25148.5,24848.5,25139.25,300.0,6000.0,29655.0,tp
2026-02-04,2026-02-04 18:40:00+01:00,2026-02-04 19:55:00+01:00,SHORT,24850.25,24950.0,24950.0,-99.75,-1995.0,27660.0,trail_stop
2026-02-05,2026-02-05 16:00:00+01:00,2026-02-05 17:20:00+01:00,SHORT,24705.0,24740.75,24740.75,-35.75,-715.0,26945.0,trail_stop
2026-02-05,2026-02-05 19:05:00+01:00,2026-02-05 20:20:00+01:00,SHORT,24767.0,24834.5,24834.5,-67.5,-1350.0,25595.0,trail_stop
2026-02-06,2026-02-06 16:15:00+01:00,2026-02-06 20:15:00+01:00,LONG,24850.5,25074.0,25074.0,223.5,4470.0,30065.0,trail_stop
2026-02-09,2026-02-09 16:00:00+01:00,2026-02-09 18:55:00+01:00,LONG,25162.75,25349.5,25349.5,186.75,3735.0,33800.0,trail_stop
2026-02-09,2026-02-09 20:00:00+01:00,2026-02-09 20:40:00+01:00,LONG,25394.75,25416.25,25312.0,21.5,430.0,34230.0,time
2026-02-10,2026-02-10 16:00:00+01:00,2026-02-10 17:20:00+01:00,LONG,25401.5,25348.0,25348.0,-53.5,-1070.0,33160.0,trail_stop
2026-02-10,2026-02-10 17:25:00+01:00,2026-02-10 18:45:00+01:00,SHORT,25351.25,25385.5,25385.5,-34.25,-685.0,32475.0,trail_stop
2026-02-11,2026-02-11 16:00:00+01:00,2026-02-11 18:25:00+01:00,SHORT,25283.5,25275.0,25275.0,8.5,170.0,32645.0,trail_stop
2026-02-11,2026-02-11 19:25:00+01:00,2026-02-11 20:40:00+01:00,LONG,25276.5,25342.0,25224.75,65.5,1310.0,33955.0,time
2026-02-12,2026-02-12 16:00:00+01:00,2026-02-12 17:15:00+01:00,SHORT,25200.25,24900.25,25274.5,300.0,6000.0,39955.0,tp
2026-02-12,2026-02-12 17:20:00+01:00,2026-02-12 18:35:00+01:00,SHORT,24882.75,24940.75,24940.75,-58.0,-1160.0,38795.0,trail_stop
2026-02-12,2026-02-12 18:50:00+01:00,2026-02-12 20:40:00+01:00,SHORT,24849.5,24915.5,24929.75,-66.0,-1320.0,37475.0,time
2026-02-13,2026-02-13 16:05:00+01:00,2026-02-13 20:25:00+01:00,LONG,24803.0,24912.0,24912.0,109.0,2180.0,39655.0,trail_stop
2026-02-16,2026-02-16 16:10:00+01:00,2026-02-16 18:30:00+01:00,SHORT,24757.75,24753.5,24753.5,4.25,85.0,39740.0,trail_stop
2026-02-17,2026-02-17 16:00:00+01:00,2026-02-17 17:05:00+01:00,SHORT,24555.0,24711.5,24711.5,-156.5,-3130.0,36610.0,trail_stop
2026-02-17,2026-02-17 17:10:00+01:00,2026-02-17 18:40:00+01:00,LONG,24773.75,24668.5,24668.5,-105.25,-2105.0,34505.0,trail_stop
2026-02-18,2026-02-18 16:00:00+01:00,2026-02-18 19:20:00+01:00,LONG,25016.5,25068.75,25068.75,52.25,1045.0,35550.0,trail_stop
2026-02-18,2026-02-18 20:00:00+01:00,2026-02-18 20:40:00+01:00,SHORT,25030.25,24925.5,25085.25,104.75,2095.0,37645.0,time
2026-02-19,2026-02-19 17:25:00+01:00,2026-02-19 20:20:00+01:00,SHORT,24872.75,24849.0,24849.0,23.75,475.0,38120.0,trail_stop
2026-02-19,2026-02-19 20:35:00+01:00,2026-02-19 20:40:00+01:00,SHORT,24760.25,24773.5,24849.25,-13.25,-265.0,37855.0,time
2026-02-20,2026-02-20 16:00:00+01:00,2026-02-20 18:15:00+01:00,LONG,24974.5,24967.25,24967.25,-7.25,-145.0,37710.0,trail_stop
2026-02-20,2026-02-20 19:30:00+01:00,2026-02-20 20:40:00+01:00,LONG,25027.5,25038.5,24928.0,11.0,220.0,37930.0,time
2026-02-23,2026-02-23 16:00:00+01:00,2026-02-23 19:05:00+01:00,SHORT,24866.5,24770.0,24770.0,96.5,1930.0,39860.0,trail_stop
2026-02-23,2026-02-23 19:55:00+01:00,2026-02-23 20:40:00+01:00,SHORT,24727.5,24698.25,24820.25,29.25,585.0,40445.0,time
2026-02-24,2026-02-24 16:05:00+01:00,2026-02-24 19:20:00+01:00,LONG,24899.75,25024.5,25024.5,124.75,2495.0,42940.0,trail_stop
2026-02-25,2026-02-25 16:00:00+01:00,2026-02-25 20:40:00+01:00,LONG,25334.5,25366.25,25334.25,31.75,635.0,43575.0,time
2026-02-26,2026-02-26 16:00:00+01:00,2026-02-26 16:30:00+01:00,SHORT,25173.25,24873.25,25384.75,300.0,6000.0,49575.0,tp
2026-02-26,2026-02-26 16:35:00+01:00,2026-02-26 19:40:00+01:00,SHORT,24975.25,25008.0,25008.0,-32.75,-655.0,48920.0,trail_stop
2026-02-27,2026-02-27 17:40:00+01:00,2026-02-27 18:05:00+01:00,SHORT,24936.0,25021.5,25021.5,-85.5,-1710.0,47210.0,trail_stop
2026-02-27,2026-02-27 18:15:00+01:00,2026-02-27 20:05:00+01:00,SHORT,24942.25,24955.25,24955.25,-13.0,-260.0,46950.0,trail_stop
2026-03-02,2026-03-02 16:00:00+01:00,2026-03-02 19:35:00+01:00,LONG,24888.5,25013.5,25013.5,125.0,2500.0,49450.0,trail_stop
2026-03-02,2026-03-02 20:15:00+01:00,2026-03-02 20:40:00+01:00,LONG,25073.5,25076.75,24966.25,3.25,65.0,49515.0,time
2026-03-03,2026-03-03 16:00:00+01:00,2026-03-03 17:05:00+01:00,SHORT,24485.0,24586.25,24586.25,-101.25,-2025.0,47490.0,trail_stop
2026-03-03,2026-03-03 19:00:00+01:00,2026-03-03 20:40:00+01:00,LONG,24683.75,24819.75,24702.75,136.0,2720.0,50210.0,time
2026-03-04,2026-03-04 16:00:00+01:00,2026-03-04 20:40:00+01:00,LONG,24930.5,25191.25,25140.5,260.75,5215.0,55425.0,time
2026-03-05,2026-03-05 16:20:00+01:00,2026-03-05 18:00:00+01:00,SHORT,25024.0,25098.0,25098.0,-74.0,-1480.0,53945.0,trail_stop
2026-03-05,2026-03-05 18:15:00+01:00,2026-03-05 20:40:00+01:00,SHORT,24962.75,24850.25,24880.75,112.5,2250.0,56195.0,time
2026-03-06,2026-03-06 18:25:00+01:00,2026-03-06 20:40:00+01:00,SHORT,24813.25,24798.25,24889.0,15.0,300.0,56495.0,time
2026-03-09,2026-03-09 15:00:00+01:00,2026-03-09 18:20:00+01:00,LONG,24468.75,24631.25,24631.25,162.5,3250.0,59745.0,trail_stop
2026-03-09,2026-03-09 19:30:00+01:00,2026-03-09 19:40:00+01:00,LONG,24694.75,24686.5,24575.75,-8.25,-165.0,59580.0,time
2026-03-10,2026-03-10 15:25:00+01:00,2026-03-10 17:05:00+01:00,LONG,25003.5,25085.5,25085.5,82.0,1640.0,61220.0,trail_stop
2026-03-10,2026-03-10 17:35:00+01:00,2026-03-10 18:35:00+01:00,LONG,25161.0,25107.25,25107.25,-53.75,-1075.0,60145.0,trail_stop
2026-03-10,2026-03-10 18:50:00+01:00,2026-03-10 19:10:00+01:00,LONG,25179.5,25102.25,25102.25,-77.25,-1545.0,58600.0,trail_stop
