date,time_et,events,tier
2021-01-07,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-01-13,08:30,CPI y/y,1
2021-02-04,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-02-09,08:30,CPI y/y,1
2021-02-10,08:30,CPI m/m,1
2021-03-04,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-03-09,08:30,CPI m/m,1
2021-03-10,08:30,CPI y/y + Core CPI m/m,1
2021-04-01,08:30,Non-Farm Employment Change + Unemployment Rate,1
2021-04-02,08:30,Average Hourly Earnings m/m,3
2021-04-12,08:30,CPI m/m + CPI y/y,1
2021-04-13,08:30,Core CPI m/m,1
2021-05-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-05-11,08:30,CPI m/m + CPI y/y,1
2021-05-12,08:30,Core CPI m/m,1
2021-06-03,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-06-09,08:30,CPI m/m + CPI y/y + Core CPI m/m,1
2021-07-01,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-07-12,08:30,CPI m/m + CPI y/y,1
2021-07-13,08:30,Core CPI m/m + PPI m/m,1
2021-08-05,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-08-10,08:30,CPI m/m + CPI y/y,1
2021-08-11,08:30,Core CPI m/m,1
2021-09-02,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-09-13,08:30,CPI m/m + CPI y/y + Core CPI m/m,1
2021-10-07,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-10-12,08:30,CPI m/m + CPI y/y,1
2021-10-13,08:30,Core CPI m/m + PPI m/m,1
2021-11-04,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-11-09,08:30,CPI m/m + CPI y/y + Core CPI m/m + PPI m/m,1
2021-12-02,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2021-12-09,08:30,CPI m/m + CPI y/y + Core CPI m/m,1
2022-01-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-01-11,08:30,CPI m/m + CPI y/y,1
2022-01-12,08:30,Core CPI m/m,1
2022-02-03,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-02-09,08:30,CPI m/m + CPI y/y,1
2022-02-10,08:30,Core CPI m/m,1
2022-03-03,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-03-09,08:30,CPI m/m + Core CPI m/m,1
2022-03-10,08:30,CPI y/y,1
2022-03-31,08:30,Non-Farm Employment Change + Unemployment Rate,1
2022-04-01,08:30,Average Hourly Earnings m/m,3
2022-04-11,08:30,CPI m/m + CPI y/y,1
2022-04-12,08:30,Core CPI m/m,1
2022-05-05,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-05-10,08:30,CPI m/m + CPI y/y,1
2022-05-11,08:30,Core CPI m/m,1
2022-06-02,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-06-09,08:30,CPI m/m + CPI y/y + Core CPI m/m,1
2022-07-07,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-07-12,08:30,CPI m/m + CPI y/y,1
2022-07-13,08:30,Core CPI m/m + PPI m/m,1
2022-08-04,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-08-09,08:30,CPI m/m + CPI y/y,1
2022-08-10,08:30,Core CPI m/m,1
2022-09-01,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-09-12,08:30,CPI m/m + CPI y/y,1
2022-09-13,08:30,Core CPI m/m + PPI m/m,1
2022-10-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-10-12,08:30,CPI m/m + CPI y/y + PPI m/m,1
2022-10-13,08:30,Core CPI m/m + Core Retail Sales m/m + Retail Sales m/m,1
2022-11-03,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-11-09,08:30,CPI m/m + CPI y/y,1
2022-11-10,08:30,Core CPI m/m,1
2022-12-01,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2022-12-12,08:30,CPI m/m + CPI y/y,1
2022-12-13,08:30,Core CPI m/m,1
2023-01-05,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2023-01-11,08:30,CPI m/m + CPI y/y,1
2023-01-12,08:30,Core CPI m/m,1
2023-02-02,08:30,Non-Farm Employment Change + Unemployment Rate,1
2023-02-03,08:30,Average Hourly Earnings m/m,3
2023-02-13,08:30,CPI m/m + CPI y/y,1
2023-02-14,08:30,Core CPI m/m + Core Retail Sales m/m + Retail Sales m/m,1
2023-03-09,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2023-03-13,08:30,CPI m/m + CPI y/y + Core CPI m/m,1
2023-04-06,08:30,Non-Farm Employment Change + Unemployment Rate,1
2023-04-07,08:30,Average Hourly Earnings m/m,3
2023-04-11,08:30,CPI m/m + CPI y/y,1
2023-04-12,08:30,Core CPI m/m + PPI m/m + Unemployment Claims,1
2023-05-04,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2023-05-09,08:30,CPI m/m + CPI y/y + Core CPI m/m,1
2023-06-01,08:30,Non-Farm Employment Change + Unemployment Claims + Unemployment Rate,1
2023-06-02,08:30,Average Hourly Earnings m/m,3
2023-06-12,08:30,CPI m/m + CPI y/y,1
2023-06-13,08:30,Core CPI m/m + PPI m/m,1
2023-07-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2023-07-11,08:30,CPI m/m + CPI y/y,1
2023-07-12,08:30,Core CPI m/m + PPI m/m + Unemployment Claims,1
2023-08-03,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Claims + Unemployment Rate,1
2023-08-09,08:30,CPI m/m + CPI y/y + Unemployment Claims,1
2023-08-10,08:30,Core CPI m/m + PPI m/m,1
2023-08-31,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2023-09-12,08:30,CPI m/m + CPI y/y,1
2023-09-13,08:30,Core CPI m/m + Core PPI m/m + Core Retail Sales m/m + PPI m/m + Retail Sales m/m + Unemployment Claims,1
2023-10-05,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2023-10-11,08:30,CPI m/m + CPI y/y + Unemployment Claims,1
2023-10-12,08:30,Core CPI m/m,1
2023-11-02,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2023-11-13,08:30,CPI m/m + CPI y/y,1
2023-11-14,08:30,Core CPI m/m + Core PPI m/m + Core Retail Sales m/m + PPI m/m + Retail Sales m/m,1
2023-12-07,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2023-12-11,08:30,CPI m/m + CPI y/y,1
2023-12-12,08:30,Core CPI m/m + PPI m/m,1
2024-01-04,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Claims + Unemployment Rate,1
2024-01-10,08:30,CPI m/m + CPI y/y + Unemployment Claims,1
2024-01-11,08:30,Core CPI m/m + PPI m/m,1
2024-02-01,08:30,Non-Farm Employment Change + Unemployment Claims + Unemployment Rate,1
2024-02-02,08:30,Average Hourly Earnings m/m,3
2024-02-12,08:30,CPI m/m + CPI y/y,1
2024-02-13,08:30,Core CPI m/m,1
2024-03-07,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2024-03-11,08:30,CPI m/m + CPI y/y,1
2024-03-12,08:30,Core CPI m/m,1
2024-04-04,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2024-04-09,08:30,CPI m/m + CPI y/y + Core CPI m/m,1
2024-05-02,08:30,Non-Farm Employment Change + Unemployment Rate,1
2024-05-03,08:30,Average Hourly Earnings m/m,3
2024-05-14,08:30,CPI m/m + CPI y/y + Core CPI m/m + Core Retail Sales m/m + Retail Sales m/m,1
2024-06-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2024-06-11,08:30,CPI m/m + CPI y/y,1
2024-06-12,08:30,Core CPI m/m + PPI m/m + Unemployment Claims,1
2024-07-04,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2024-07-10,08:30,CPI m/m + CPI y/y + Unemployment Claims,1
2024-07-11,08:30,Core CPI m/m + Core PPI m/m + PPI m/m,1
2024-08-01,08:30,Non-Farm Employment Change + Unemployment Claims + Unemployment Rate,1
2024-08-02,08:30,Average Hourly Earnings m/m,3
2024-08-13,08:30,CPI m/m + CPI y/y + Core PPI m/m,1
2024-08-14,08:30,Core CPI m/m + Core Retail Sales m/m + Retail Sales m/m + Unemployment Claims,1
2024-09-05,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2024-09-10,08:30,CPI m/m + CPI y/y,1
2024-09-11,08:30,Core CPI m/m + Core PPI m/m + PPI m/m + Unemployment Claims,1
2024-10-03,08:30,Non-Farm Employment Change + Unemployment Claims + Unemployment Rate,1
2024-10-04,08:30,Average Hourly Earnings m/m,3
2024-10-09,08:30,CPI m/m + CPI y/y + Unemployment Claims,1
2024-10-10,08:30,Core CPI m/m + Core PPI m/m + PPI m/m,1
2024-10-31,08:30,Non-Farm Employment Change + Unemployment Rate,1
2024-11-01,08:30,Average Hourly Earnings m/m,3
2024-11-12,08:30,CPI m/m + CPI y/y,1
2024-11-13,08:30,Core CPI m/m + PPI m/m + Unemployment Claims,1
2024-12-05,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2024-12-10,08:30,CPI m/m + CPI y/y,1
2024-12-11,08:30,Core CPI m/m + Core PPI m/m + PPI m/m + Unemployment Claims,1
2025-01-09,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2025-01-14,08:30,CPI m/m + CPI y/y + Core CPI m/m + Core PPI m/m,1
2025-02-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Claims + Unemployment Rate,1
2025-02-11,08:30,CPI m/m + CPI y/y,1
2025-02-12,08:30,Core CPI m/m + PPI m/m + Unemployment Claims,1
2025-03-06,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
2025-03-11,08:30,CPI m/m + CPI y/y,1
2025-03-12,08:30,Core CPI m/m + Core PPI m/m + PPI m/m + Unemployment Claims,1
2025-04-03,08:30,Average Hourly Earnings m/m + Non-Farm Employment Change + Unemployment Rate,1
